Index,Load_AESO_2030.dat,Load_AVA_2030.dat,Load_AZPS_2030.dat,Load_BANC_2030.dat,Load_BCHA_2030.dat,Load_BPAT_2030.dat,Load_CFE_2030.dat,Load_CHPD_2030.dat,Load_CIPB_2030.dat,Load_CIPV_2030.dat,Load_CISC_2030.dat,Load_CISD_2030.dat,Load_DOPD_2030.dat,Load_EPE_2030.dat,Load_GCPD_2030.dat,Load_IID_2030.dat,Load_IPFE_2030.dat,Load_IPMV_2030.dat,Load_IPTV_2030.dat,Load_LDWP_2030.dat,Load_NEVP_2030.dat,Load_NWMT_2030.dat,Load_PACW_2030.dat,Load_PAID_2030.dat,Load_PAUT_2030.dat,Load_PAWY_2030.dat,Load_PGE_2030.dat,Load_PNM_2030.dat,Load_PSCO_2030.dat,Load_PSEI_2030.dat,Load_SCL_2030.dat,Load_SPPC_2030.dat,Load_SRP_2030.dat,Load_TEPC_2030.dat,Load_TH_Malin_2030.dat,Load_TH_Mead_2030.dat,Load_TH_PV_2030.dat,Load_TIDC_2030.dat,Load_TPWR_2030.dat,Load_VEA_2030.dat,Load_WACM_2030.dat,Load_WALC_2030.dat,Load_WAUW_2030.dat
Year,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030
1,6775,1793.38515,2572.43842,1830.77881,7171,7308.67849,1172,324.65621,4031.826431,6017.500949,9998.92955,1925.197121,328.92476,764.06375,619.94687,272.27678,255.8856958,549.3830056,1130.288039,2621.73406,2491.380808,1654.77238,2751.20046,669.0955768,3816.470149,1068.735565,2785.77298,1472.07032,6348.37609,3389.81521,1256.86532,1188.635882,2724.45057,1500.0119,0,0,0,231.44973,720.98883,60.23699882,2797.04952,923.74756,149.1425
2,6726,1868.0354,2919.65012,2004.96828,6957,7768.28311,1124,329.37622,4302.659818,6421.719779,10670.59635,2054.520063,337.42148,825.08789,634.0317,304.5084,266.9445782,573.1262713,1179.136891,2851.88185,2690.21533,1689.96649,2807.68282,694.1770757,3959.533106,1108.797838,2903.38049,1577.63075,6536.65562,3623.70396,1320.34464,1283.49968,2990.66208,1557.41924,0,0,0,269.87269,763.22227,64.28335118,2829.0536,946.94449,148.78479
3,6670,1931.12656,3081.51259,2046.28018,6831,8017.83831,1093,321.64409,4472.092177,6674.597574,11090.7886,2135.424015,340.19515,884.07086,642.80086,322.25354,274.4311815,589.1999038,1212.206415,2935.25346,2776.503899,1703.40517,2863.85272,707.7836322,4037.143867,1130.531371,2975.77123,1665.23534,6698.75619,3733.15791,1362.34745,1324.667891,3084.18684,1545.58306,0,0,0,281.44243,781.85913,66.81473416,2863.52379,942.66062,148.29032
4,6617,1979.16283,3163.97272,2146.01144,6806,8235.06969,1078,316.91373,4670.776339,6971.133687,11583.52532,2230.295702,343.6089,926.51326,646.93151,338.4738,281.1088052,603.5366683,1241.702546,2998.11766,2823.424342,1703.04447,2913.70052,716.7416674,4088.239816,1144.839896,3045.08687,1671.74932,6481.06383,3828.55356,1394.70281,1347.053598,3167.24345,1527.36207,0,0,0,287.91402,795.77869,69.78315005,2815.86659,944.76943,146.25981
5,6677,1947.53401,3223.8212,2121.75657,6851,8184.53413,1082,315.87864,4728.064602,7056.636419,11725.60021,2257.650848,343.33279,904.0201,645.83678,339.23625,281.2067343,603.7469208,1242.135115,3052.66901,2803.528698,1666.76826,2872.72659,721.7829869,4116.995119,1152.892314,2983.85649,1651.80836,6261.18255,3769.47112,1411.99067,1337.561402,3094.26768,1504.4738,0,0,0,281.94785,788.60679,70.63905818,2769.55743,940.29787,143.79794
6,6813,1890.57093,3137.48852,2002.38754,6979,7936.45965,1113,320.09146,4524.700151,6753.114975,11221.25637,2160.544322,334.78586,891.78309,645.88192,325.63755,269.9363806,579.5496291,1192.35216,2974.50306,2751.408422,1610.35463,2768.15662,700.3680147,3994.84575,1118.686525,2901.75925,1603.89617,6028.69578,3671.20993,1386.26734,1312.694858,2967.9291,1452.01376,0,0,0,275.43232,762.29296,67.60071702,2726.50735,926.68444,141.51494
7,7082,1835.19969,2993.86223,1875.12509,7202,7622.71009,1167,314.47091,4313.677997,6438.16441,10697.92143,2059.781244,325.78712,866.32369,648.11653,303.46395,257.1459993,552.0888597,1135.855001,2841.36246,2639.794858,1553.72458,2650.8487,677.9322706,3866.873976,1082.850273,2772.82402,1553.05119,5786.81538,3525.56522,1326.96697,1259.444112,2871.31661,1387.08279,0,0,0,268.65309,730.84768,64.4479669,2682.7674,910.11206,138.63224
8,7419,1771.3178,2863.12097,1773.0248,7472,7307.59062,1234,303.13667,4113.68795,6139.679266,10201.94612,1964.285996,317.2151,831.13098,641.84156,294.29371,247.8242913,532.075283,1094.679526,2696.85587,2548.586166,1505.26698,2531.33272,655.6604002,3739.836926,1047.275774,2604.34111,1501.23859,5543.89001,3338.66812,1254.90674,1215.928514,2784.29007,1324.08406,0,0,0,257.391,698.98825,61.46004061,2650.29548,900.89291,135.80216
9,7704,1705.69841,2726.64632,1698.15327,7741,7077.28467,1292,297.28841,3912.136066,5838.863079,9702.097444,1868.044972,309.05724,797.19516,634.30257,287.47347,241.8903603,519.3352162,1068.468403,2544.61285,2464.183881,1464.27074,2412.45208,633.5223814,3613.563355,1011.915074,2443.51462,1452.0695,5330.63048,3159.51044,1193.54114,1175.660249,2720.81416,1274.79775,0,0,0,246.44754,669.89657,58.44877988,2626.22106,905.57425,133.67696
10,7841,1655.13392,2622.52003,1636.11484,7967,6920.78258,1322,292.99278,3719.432853,5551.253533,9224.193475,1776.029187,302.20464,775.02376,630.38635,282.78391,240.933779,517.2814497,1064.243031,2405.25788,2375.521314,1432.2508,2302.09119,611.9372809,3490.443588,977.4375413,2314.73628,1432.94652,5178.11053,3010.68996,1129.08253,1133.359406,2680.6522,1251.78814,0,0,0,242.12949,641.78471,55.56972161,2610.59964,922.29017,132.73009
11,7854,1639.05941,2661.98985,1514.28605,8183,6850.30276,1362,302.47421,3602.258489,5376.370795,8933.601054,1720.078429,301.91598,772.09774,635.46501,278.91946,246.6917219,529.6436724,1089.676786,2302.04532,2308.518748,1411.59809,2226.76748,608.518441,3470.942785,971.9766835,2253.2235,1446.87228,5094.98683,2933.47541,1084.966,1101.392532,2696.24145,1254.18712,0,0,0,237.78946,625.32973,53.81909268,2599.98184,930.54876,131.89895
12,7861,1640.47438,2702.50576,1487.4202,8296,6906.03591,1386,311.12757,3558.365114,5310.859933,8824.745482,1699.119342,308.0532,787.2306,642.53,275.54589,252.9676942,543.118097,1117.398759,2242.5585,2294.862908,1415.0196,2241.46352,615.6300774,3511.507017,983.3359855,2228.1205,1471.20245,5092.11594,2941.11686,1065.78743,1094.877342,2771.6702,1274.92844,0,0,0,238.34982,621.9256,53.16330919,2607.05509,941.08177,131.2151
13,7826,1687.57427,2816.82138,1521.60485,8328,7108.89331,1391,319.93619,3575.869184,5336.984757,8868.155577,1707.477535,315.90984,805.9129,650.73486,276.78878,259.9774254,558.1678919,1148.361863,2238.76684,2295.221517,1450.89388,2337.40959,624.6243905,3562.809893,997.7024566,2274.37276,1494.15601,5162.22716,3022.10315,1093.35299,1095.048433,2860.51495,1299.64627,0,0,0,239.88806,641.32005,53.42482656,2621.00335,955.25828,131.97259
14,7759,1751.46656,2949.00102,1572.18119,8312,7422.98535,1397,330.63903,3658.213008,5459.882915,9072.368261,1746.796712,324.73287,822.84562,657.91271,281.78124,269.0096031,577.5598509,1188.258436,2267.32592,2311.523894,1490.77711,2436.62608,634.1015694,3616.866999,1012.840202,2401.22654,1520.63091,5252.55558,3141.86816,1148.41623,1102.826286,2945.91695,1324.94284,0,0,0,240.71211,665.80555,54.65507418,2635.60183,970.89219,133.10884
15,7713,1825.89832,3086.25017,1623.32206,8300,7806.96291,1402,342.2838,3738.620641,5579.891307,9271.779191,1785.191356,335.5389,836.69143,665.55328,286.58569,278.4420137,597.8111043,1229.922902,2299.3074,2334.890876,1531.71151,2547.64314,644.6758297,3677.181773,1029.730297,2545.05622,1548.42257,5349.26374,3276.49971,1204.72056,1113.974654,3027.5319,1355.26138,0,0,0,240.48138,696.03867,55.85639437,2648.68576,990.05918,134.44498
